Nombre del Curso,Composición Visual,Prompt Artístico Detallado para IA (Copia y Pega)
Diseño Gráfico Esencial,Macro Táctico,"A cinematic close-up of a designer's hand using a stylus. From the screen, shimmering amber geometric shards and vibrant liquid-ink splatters are magically bursting out. Background: soft-focus classroom with warm #F73A00 lighting, f/1.8 aperture."
Diseño Gráfico Integral,Atmósfera,"A high-end workstation in a small classroom. From the monitor, translucent glass spheres and floating organic 3D textures are magically bursting out, swirling around the iMac. Deep orange volumetric lighting with glowing dust motes."
Diseño Gráfico Profesional,Social (Grupo),"Three students looking amazed in a small classroom. Holographic brand logos and shimmering gold-leaf patterns are magically bursting out from their computers, forming a circular aura. Warm orange lighting, dramatic chiaroscuro."
Diseño Gráfico Multimedia,Inmersión Total,"A wide cinematic shot of a computer lab. From a central monitor, luminous motion-blur streaks and floating cinematic frames are magically bursting out, filling the room with a warm #F73A00 glow. No people, pure creative energy."
Ilustración Digital,Acción Creativa,"Two young adults collaborating in a classroom. From their tablet, a whimsical green octopus playing guitar and 3D botanical vines are magically bursting out. Warm amber bioluminescence, soft focus on the desks."
Efectos en Photoshop,El Creador,"A side-profile of a young woman. Her face is lit by floating light-masks and surreal digital particles magically bursting out from her laptop. Cozy classroom background, warm orange lanterns, ultra-detailed."
Diseño Web UX/UI,Arquitectura de Trabajo,A top-down shot of a clean desk with an iPhone. Layered transparent glass-morphism interfaces and glowing UI buttons are magically bursting out of the screen. Professional studio lighting in warm #F73A00 tones.
Diseño Web Integral,Macro Táctico,"Low-angle shot of a backlit keyboard. Crystalline code syntax and floating neon-orange React icons are magically bursting out from the keys like a digital waterfall. Dark classroom atmosphere, moody amber lighting."
Fundamentos de Programación,Inmersión Total,"A mystical view of a computer screen in a small lab. Glowing 3D logical operators and golden binary matrices are magically bursting out, forming a floating matrix in the air. Warm amber glow, high-fidelity textures."
Premiere / Final Cut,Social (Pareja),"Two editors pointing at a screen. Luminous film strips and vibrant 3D color-grading wheels are magically bursting out, casting gold reflections on their faces. Cinematic 4k, warm #F73A00 filter."
After Effects,Inmersión Total,"A dynamic shot where explosive 3D light-trails and shimmering particle ribbons are magically bursting out of a screen, spiraling across the classroom desks. Intense warm orange lighting, anamorphic flares."
Creadores de Contenido,Acción Creativa,"A young creator with a ring light in a classroom. From their smartphone, floating 3D ""like"" bubbles and golden metric bars are magically bursting out. Fresh, youthful, and high-energy #F73A00 vibe."
Filmmakers,Macro Táctico,"Detailed close-up of a camera lens. From the lens glass, a miniature 3D film set with glowing orange spotlights is magically bursting out. Background: soft-focus classroom, artistic lighting, f/2.4."
Dron In: Primer vuelo,Atmósfera,"A wide shot of an empty classroom. A holographic drone surrounded by golden flight-path rings is magically bursting out of a tablet on a desk. Volumetric orange lighting, magical tech aesthetic."
Dron Profesional,Arquitectura de Trabajo,"A desk with a controller and maps. Glowing 3D topographic mountains and LIDAR data clouds are magically bursting out of the monitor, hovering over the desk. Professional amber glow, highly detailed."
Fotografía Digital,Macro Táctico,"Hands holding a mirrorless camera. From the viewfinder, shimmering sepia-toned film grains and glowing high-res portraits are magically bursting out. Warm orange light filtering through classroom blinds."
Esquemas de Iluminación,Inmersión Total,"Artistic shot of a classroom. Floating orbs of amber light and colorful geometric shadows are magically bursting out of a laptop, illustrating light theory. Warm, moody, and creative #F73A00 tones."
Prototipado 3D,Macro Táctico,"A 3D printer nozzle mid-print. Out of the plate, a glowing, translucent mechanical prototype is magically bursting out in a halo of orange sparks. Industrial-chic classroom background."
Router CNC: Maker Lab,Táctico (Manos),"Close-up of hands touching a wood engraving. From a screen nearby, shimmering vector paths and glowing orange sparks are magically bursting out, ""etching"" the air. Tactile, warm, and highly detailed."
Videojuegos en Apple,El Creador,"A young man playing on an iPad. Stylized 8-bit heroes and glowing orange pixel-art explosions are magically bursting out of the device, floating in front of him. Playful and magical classroom setting."
Videojuegos Apple (DIP),Inmersión Total,"A breathtaking view of a classroom. A complete 3D fantasy world portal and floating golden treasures are magically bursting out of a central Mac Pro. Intense warm amber lighting, epic scale."
Realidad Virtual / AR,Macro Táctico,"Close-up of a student's hand holding an iPhone. Intricate holographic circuitries and 3D virtual objects are magically bursting out into the classroom air. Warm orange glow, futuristic feel."
Soporte Técnico Apple,Arquitectura de Trabajo,"A neat tech-bench with open Macs. Glowing orange energy-traces and 3D binary structures are magically bursting out of a logic board. Clean, organized classroom lab, warm amber lighting."
Soporte para iPhone,Macro Táctico,"Extreme close-up of a pentalobe screwdriver near an iPhone. A glowing, exploded-view of internal hardware components is magically bursting out in shimmering orange light. High-tech and precise."
Soporte para Mac,Táctico (Manos),"Close-up of hands repairing a MacBook. Floating golden hardware icons and streams of system data are magically bursting out from the device. Warm, inviting classroom setting, #F73A00 glow."
Mac para arquitectos,Inmersión Total,"A professional desk. A glowing, complex 3D skyscraper and golden floor plans are magically bursting out of an iPad Pro, reaching the ceiling. Warm orange volumetric light, creative vibe."
Mac para escritores,Atmósfera,"A cozy desk with coffee and a Mac. Elegant floating calligraphy and shimmering manuscript pages are magically bursting out of the screen. Peaceful classroom background, warm #F73A00 tones."
